STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TMAX,TMIN
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,1/26/2021,22,24,20
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,1/27/2021,25,27,24
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,1/29/2021,30,33,28
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,1/30/2021,31,33,28
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,1/31/2021,33,38,31
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,2/1/2021,35,40,32
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,2/2/2021,30,36,26
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,2/3/2021,28,33,26
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,2/4/2021,36,44,26
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,2/5/2021,42,50,37
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,2/6/2021,45,50,39
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,2/7/2021,44,51,40
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,2/8/2021,41,46,35
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,2/9/2021,37,41,34
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,2/10/2021,41,49,35
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,2/11/2021,36,38,32
USR0000CSLA,"SLATER BUTTE CALIFORNIA, CA US",41.8586,-123.3525,1423.4,2/12/2021,33,35,31
